suite_id,suite_family,dataset_id,dataset_seed,split_seed,prior_regime,method,logical_dataset_key,n_total,n_train,n_holdout,p_signal,p_noise,p_total,feature_noise_level,target_noise_scale,training_size_anchor,raw_features,signal_features,noise_features,processed_features,selected_features,feature_selector,feature_cap,d_phi,d_rho,pool,context_windows,context_window_size,test_chunk_size,mc_k,mse_betaX,rmse_betaX,mae_betaX,r2_betaX,mse_y_observed,rmse_y_observed,mae_y_observed,r2_y_observed,fit_time_s,predict_time_s,total_time_s,status,skip_reason,error_type,error_message,rank_mse_betaX,rank_rmse_betaX,rank_mae_betaX,rank_r2_betaX,rank_overall,ratio_mse_to_fixed_ridge,ratio_rmse_to_fixed_ridge,ratio_mse_to_autogluon,ratio_rmse_to_autogluon,ratio_mse_to_best_tree,ratio_rmse_to_best_tree,beats_fixed_ridge,beats_autogluon,beats_best_tree,is_best_mse,is_top3_mse,noise_feature_bucket,training_size_bucket,p_total_quartile,n_train_quartile
linear_all_v1,ood_primary,0,969320454,0,E,AutoGluon,linear_all_v1:E:0000,226,181,45,14,0,14,0,1.0,False,14,,,14,,,,,,,,,,,0.4897508908838898,0.6998220422963897,0.5242924367792102,0.9481130883899432,1.7151565820581935,1.3096398673139855,1.0505348573189752,0.8258632838767708,299.8283737689999,0.0428045289991132,299.871178297999,ok,,,,3.0,3.0,3.0,3.0,3.0,2.7550965795865445,1.6598483604192713,1.0,1.0,0.2191343494657449,0.46811787988256215,False,False,True,False,True,0,small(100-500),Q4,Q4
linear_all_v1,ood_primary,0,969320454,1,E,AutoGluon,linear_all_v1:E:0000,226,181,45,14,0,14,0,1.0,False,14,,,14,,,,,,,,,,,0.3975301446879111,0.630499916485253,0.4711357775379045,0.95322927485498,1.4735985730243222,1.2139186846837486,0.9667101145676618,0.8117355383478362,300.14612834499894,0.2004010020009445,300.3465293469999,ok,,,,3.0,3.0,3.0,3.0,3.0,2.7765172931355537,1.6662884783660818,1.0,1.0,0.16250857532234161,0.40312352365291415,False,False,True,False,True,0,small(100-500),Q4,Q4
linear_all_v1,ood_primary,0,969320454,2,E,AutoGluon,linear_all_v1:E:0000,226,181,45,14,0,14,0,1.0,False,14,,,14,,,,,,,,,,,0.2937980311421005,0.5420313931333688,0.4207879810324904,0.957611120626923,1.3493903065037307,1.1616326039259277,0.9212198284497338,0.852834326356178,279.31655747200057,0.0571273069999733,279.37368477900054,ok,,,,3.0,3.0,3.0,3.0,3.0,2.4744145149432586,1.5730271818831545,1.0,1.0,0.21461350474211843,0.46326396875012676,False,False,True,False,True,0,small(100-500),Q4,Q4
linear_all_v1,ood_primary,30,392302477,0,E,AutoGluon,linear_all_v1:E:0030,187,150,37,13,0,13,0,1.0,False,13,,,13,,,,,,,,,,,0.9840587942193314,0.9919973761151444,0.4873440432709,0.938857078247764,1.8687376453514248,1.367017792624304,0.837265905685447,0.8888134752727849,271.87491371299984,0.0374768170004244,271.91239053000027,ok,,,,3.0,3.0,3.0,3.0,3.0,14.418899959335057,3.7972226639130673,1.0,1.0,0.15719662031358025,0.39648028994337176,False,False,True,False,True,0,small(100-500),Q4,Q1
linear_all_v1,ood_primary,30,392302477,1,E,AutoGluon,linear_all_v1:E:0030,187,150,37,13,0,13,0,1.0,False,13,,,13,,,,,,,,,,,0.615476045382059,0.7845228138059842,0.6319620576402092,0.9519144939722688,1.911527203571684,1.3825799085664754,1.1199179590735453,0.8655326768743297,298.22905148599966,0.4585783659986191,298.6876298519983,ok,,,,3.0,3.0,3.0,3.0,3.0,10.547179135077277,3.247642088512412,1.0,1.0,0.1623905657152586,0.4029771280299399,False,False,True,False,True,0,small(100-500),Q4,Q1
linear_all_v1,ood_primary,30,392302477,2,E,AutoGluon,linear_all_v1:E:0030,187,150,37,13,0,13,0,1.0,False,13,,,13,,,,,,,,,,,0.4220223190996655,0.6496324492354624,0.5467373706723865,0.9630017364860768,1.3240061439928998,1.1506546588759374,0.972763737935932,0.8937281672079473,300.2077429580004,0.7126853459994891,300.92042830399987,ok,,,,3.0,3.0,3.0,3.0,3.0,4.9910305665919115,2.2340614509435306,1.0,1.0,0.11828924631355603,0.3439320373468514,False,False,True,False,True,0,small(100-500),Q4,Q1
linear_all_v1,ood_primary,10,2080162830,0,F,AutoGluon,linear_all_v1:F:0010,188,150,38,9,0,9,0,1.0,False,9,,,9,,,,,,,,,,,0.1072259367656757,0.3274537169825314,0.2391831870190799,0.0,1.005730843866463,1.002861328333316,0.8548912038786582,0.0747858729121302,212.88966029999935,0.0855473130013706,212.97520761300075,ok,,,,2.0,2.0,2.0,1.0,2.0,0.8701065759182799,0.9327950342482961,1.0,1.0,0.7002991128197484,0.8368387615423587,True,False,True,False,True,0,small(100-500),Q2,Q1
linear_all_v1,ood_primary,10,2080162830,1,F,AutoGluon,linear_all_v1:F:0010,188,150,38,9,0,9,0,1.0,False,9,,,9,,,,,,,,,,,0.1796761620735,0.4238822502458672,0.3487457189905016,0.0,1.1998447257350238,1.0953742400362645,0.8683558408931628,-0.4143116370478523,300.0048638409989,0.3829145880008582,300.3877784289998,ok,,,,6.0,6.0,6.0,1.0,6.0,1.6272783727771942,1.2756482167028622,1.0,1.0,1.0323189069338925,1.0160309576651156,False,False,False,False,False,0,small(100-500),Q2,Q1
linear_all_v1,ood_primary,10,2080162830,2,F,AutoGluon,linear_all_v1:F:0010,188,150,38,9,0,9,0,1.0,False,9,,,9,,,,,,,,,,,0.1514501628217584,0.3891659836390617,0.2958233555974929,0.0,1.7201521242455224,1.311545700402972,1.0740809022756137,-0.0952638179060758,195.63413206800035,0.0496494830003939,195.68378155100072,ok,,,,4.0,4.0,4.0,1.0,4.0,3.2920878369647406,1.8144111543320989,1.0,1.0,0.8033267725788954,0.8962849840195334,False,False,True,False,False,0,small(100-500),Q2,Q1
linear_all_v1,ood_primary,40,1310174909,0,F,AutoGluon,linear_all_v1:F:0040,194,155,39,12,0,12,0,1.0,False,12,,,12,,,,,,,,,,,0.0792341200434743,0.2814855592094811,0.2262344490351444,0.9570104215078772,1.079127159452464,1.0388104540542822,0.8445406892866916,0.6641086555666145,300.20392699699914,0.0707841089988505,300.274711105998,ok,,,,3.0,3.0,3.0,3.0,3.0,2.3886934480081945,1.5455398564929317,1.0,1.0,0.63217825389678,0.7950963802563684,False,False,True,False,True,0,small(100-500),Q3,Q2
