feature_noise_level,prior_regime,method,valid_count,mean_mse_betaX,median_mse_betaX,std_mse_betaX,mean_rmse_betaX,mean_r2_betaX,mean_rank_mse_betaX,mean_processed_features,mean_selected_features,mean_feature_cap,base_mse,base_rmse,base_r2,base_rank,mse_degradation_vs_noise0,rmse_degradation_vs_noise0,r2_drop_vs_noise0,rank_change_vs_noise0,relative_mse_degradation_pct
0,A,CatBoost,150,1.9653177839982887,1.540610358275279,1.7096830238487364,1.301914002933259,0.8096595625472846,5.433333333333334,10.22,,,1.9653177839982887,1.301914002933259,0.8096595625472846,5.433333333333334,0.0,0.0,0.0,0.0,0.0
0,A,FixedRidgeLambda1,150,0.08797936578667818,0.07479902601212746,0.05781705949092237,0.28071814911775883,0.9882352921894673,1.6266666666666667,10.22,,,0.08797936578667818,0.28071814911775883,0.9882352921894673,1.6266666666666667,0.0,0.0,0.0,0.0,0.0
0,A,KNN,150,3.609315564536647,3.0030294596268017,2.6901316803483737,1.7872962913322579,0.6432047934919976,9.226666666666667,10.22,,,3.609315564536647,1.7872962913322579,0.6432047934919976,9.226666666666667,0.0,0.0,0.0,0.0,0.0
0,A,LightGBM,150,1.9926301862244387,1.6157764392074947,1.3192691627738073,1.3477008670978312,0.7875389496560232,6.193333333333333,10.22,,,1.9926301862244387,1.3477008670978312,0.7875389496560232,6.193333333333333,0.0,0.0,0.0,0.0,0.0
0,A,LinearRegression,150,0.08946787421480464,0.07657902371860985,0.05969534096486069,0.2825971234610623,0.9881158697990984,1.8333333333333333,10.22,,,0.08946787421480464,0.2825971234610623,0.9881158697990984,1.8333333333333333,0.0,0.0,0.0,0.0,0.0
0,A,MLP,150,0.7637363724959435,0.7226298520816036,0.25457451375078555,0.8631932501542722,0.8894647524650969,4.626666666666667,10.22,,,0.7637363724959435,0.8631932501542722,0.8894647524650969,4.626666666666667,0.0,0.0,0.0,0.0,0.0
0,A,MODEL3-ICL-MC,150,0.13061314815703282,0.1101792863429278,0.10009105509633333,0.33796773886049475,0.983319582070417,2.54,10.22,10.22,128.0,0.13061314815703282,0.33796773886049475,0.983319582070417,2.54,0.0,0.0,0.0,0.0,0.0
0,A,RandomForest,150,3.057513773828669,2.436241786528108,2.6140438421747154,1.6196183665179997,0.708930233079023,7.78,10.22,,,3.057513773828669,1.6196183665179997,0.708930233079023,7.78,0.0,0.0,0.0,0.0,0.0
0,A,Ridge,150,0.08797936578667818,0.07479902601212746,0.05781705949092237,0.28071814911775883,0.9882352921894673,1.6266666666666667,10.22,,,0.08797936578667818,0.28071814911775883,0.9882352921894673,1.6266666666666667,0.0,0.0,0.0,0.0,0.0
0,A,SVR,150,2.709169192587922,1.947022238378294,2.5211366601020333,1.513128412580374,0.7508041269991536,6.8933333333333335,10.22,,,2.709169192587922,1.513128412580374,0.7508041269991536,6.8933333333333335,0.0,0.0,0.0,0.0,0.0
0,A,XGBoost,150,3.428252274396967,2.6455730983232386,2.846531031270466,1.7293130203055613,0.6609585844961176,8.846666666666666,10.22,,,3.428252274396967,1.7293130203055613,0.6609585844961176,8.846666666666666,0.0,0.0,0.0,0.0,0.0
0,B,CatBoost,150,1.6257915881854654,0.6775507054406377,2.4675430694415192,1.0626381399662888,-17.2980719939108,5.633333333333334,9.82,,,1.6257915881854654,1.0626381399662888,-17.2980719939108,5.633333333333334,0.0,0.0,0.0,0.0,0.0
0,B,FixedRidgeLambda1,150,0.07769493510274379,0.0688916661445836,0.046644647725255214,0.26647295123599435,-8.015328572885833,1.5666666666666667,9.82,,,0.07769493510274379,0.26647295123599435,-8.015328572885833,1.5666666666666667,0.0,0.0,0.0,0.0,0.0
0,B,KNN,150,4.861709864088051,2.209308806441544,7.1312207723502405,1.8356375540913101,-26.070822396459743,9.38,9.82,,,4.861709864088051,1.8356375540913101,-26.070822396459743,9.38,0.0,0.0,0.0,0.0,0.0
0,B,LightGBM,150,1.7680921530554985,0.9850688387544532,2.064594714704062,1.1776299414500213,-32.66554051276975,7.153333333333333,9.82,,,1.7680921530554985,1.1776299414500213,-32.66554051276975,7.153333333333333,0.0,0.0,0.0,0.0,0.0
0,B,LinearRegression,150,0.07838334789852971,0.06833903222400985,0.04636450579479028,0.2678852968928036,-8.09889250754011,1.7666666666666666,9.82,,,0.07838334789852971,0.2678852968928036,-8.09889250754011,1.7666666666666666,0.0,0.0,0.0,0.0,0.0
0,B,MLP,150,0.7521782934426856,0.7080900472235876,0.26737833178881004,0.8549585415477439,-71.00547083774052,6.233333333333333,9.82,,,0.7521782934426856,0.8549585415477439,-71.00547083774052,6.233333333333333,0.0,0.0,0.0,0.0,0.0
0,B,MODEL3-ICL-MC,150,0.13256116884131802,0.10641223640659031,0.09742735205441262,0.34188407074674976,-15.764105084561024,2.76,9.82,9.82,128.0,0.13256116884131802,0.34188407074674976,-15.764105084561024,2.76,0.0,0.0,0.0,0.0,0.0
0,B,RandomForest,150,1.8609639391902,0.537895929355128,3.2868830396878854,1.064030726379282,-10.47313290281373,5.246666666666667,9.82,,,1.8609639391902,1.064030726379282,-10.47313290281373,5.246666666666667,0.0,0.0,0.0,0.0,0.0
0,B,Ridge,150,0.07769493510274379,0.0688916661445836,0.046644647725255214,0.26647295123599435,-8.015328572885833,1.5666666666666667,9.82,,,0.07769493510274379,0.26647295123599435,-8.015328572885833,1.5666666666666667,0.0,0.0,0.0,0.0,0.0
0,B,SVR,150,4.603086217237334,1.3325674737510984,8.962244899283268,1.6539504388825093,-12.16847145953566,8.173333333333334,9.82,,,4.603086217237334,1.6539504388825093,-12.16847145953566,8.173333333333334,0.0,0.0,0.0,0.0,0.0
0,B,XGBoost,150,2.109007403322006,0.885528466980448,3.2277927095346985,1.217593941648816,-26.549733160442166,7.086666666666667,9.82,,,2.109007403322006,1.217593941648816,-26.549733160442166,7.086666666666667,0.0,0.0,0.0,0.0,0.0
0,C,CatBoost,150,2.0137635984161357,1.5884937777937835,1.434462979901825,1.3461621279297429,0.7344155326232745,5.373333333333333,9.8,,,2.0137635984161357,1.3461621279297429,0.7344155326232745,5.373333333333333,0.0,0.0,0.0,0.0,0.0
0,C,FixedRidgeLambda1,150,0.20892826503985226,0.17666871478959975,0.13805652374279118,0.43558054731577756,0.9610171768700214,1.6133333333333333,9.8,,,0.20892826503985226,0.43558054731577756,0.9610171768700214,1.6133333333333333,0.0,0.0,0.0,0.0,0.0
