suite_family,prior_regime,method,valid_count,mean_mse_betaX,median_mse_betaX,std_mse_betaX,mean_rmse_betaX,mean_mae_betaX,mean_r2_betaX,median_r2_betaX,mean_prediction_std,mean_target_std,mean_variance_ratio,mean_bias,mean_slope_y_pred_vs_y_true,mean_gate,mean_latent_ridge_mse,mean_neural_mse,mean_hybrid_mse,mean_rank_mse_betaX,median_rank_mse_betaX
ood_primary,E,AutoGluon,6,1.3709188119852966,1.4041449578967962,0.3003599641582436,1.1650657629981345,0.8657904267014094,0.8085159829055542,0.8378599954758323,2.5011045138041177,2.8431618025535776,0.8730358264947468,-0.030293562627249915,0.798124692009691,,,,,5.0,5.0
ood_primary,E,CatBoost,150,2.3589988216413666,1.8987020374599313,1.6996226647611985,1.4329346026098988,1.0573253294569318,0.7460899643966723,0.7595532631710944,2.0386921145874908,2.905619982674566,0.7333526620381798,0.0022902653307740836,0.6542092856595323,,,,,5.4,5.0
ood_primary,E,FixedRidgeLambda1,150,0.0758948146774706,0.07264840176151091,0.04289369086827987,0.2636891180183496,0.20804470591437088,0.988462217683965,0.9921181487818782,2.895682252389331,2.905619982674566,0.9969667201260738,0.00423225638701943,0.992577583641844,,,,,1.6466666666666667,2.0
ood_primary,E,KNN,150,3.87579814423363,3.159942592224457,2.683286605757721,1.8413578597972635,1.4277056880083154,0.5915336124071762,0.590073989752175,1.6417825260585819,2.905619982674566,0.5906358751967989,0.0037505053664973046,0.4843478308902264,,,,,8.506666666666666,9.0
ood_primary,E,LightGBM,150,3.0021408102125324,2.824616377687524,1.7286509166746775,1.6532582206026396,1.2734775247572883,0.6460513151673711,0.6835161790636692,2.502820556070243,2.905619982674566,0.8954030728629042,0.014506932427266061,0.7403150163542402,,,,,7.46,7.0
ood_primary,E,LinearRegression,150,0.07616622691316359,0.07154094179477336,0.04358810459896799,0.2638120287825264,0.2083133176783022,0.9883726948026424,0.9919221075265763,2.9152740366417826,2.905619982674566,1.0036708506904517,0.004456970072915375,0.9992487755990317,,,,,1.6933333333333334,2.0
ood_primary,E,MLP,150,0.801122962059495,0.7826575747164928,0.26695531842031,0.8826779524107737,0.6784346607763496,0.7989532276492692,0.9111009161727306,2.9861089201540567,2.905619982674566,1.0624800991463101,0.010474396879269973,0.9822191848650748,,,,,4.72,4.0
ood_primary,E,MODEL3-ICL-MC,150,0.1349430526612644,0.11296502203678505,0.08649969812406275,0.3474471334165888,0.2731529802802509,0.9810997453002879,0.985317137180574,2.8878108985175506,2.905619982674566,0.995078161069533,0.003874208562953594,0.987779155407526,,,,,2.66,3.0
ood_primary,E,RandomForest,150,3.25990168847219,2.6084518955616685,2.411064751345276,1.6724985524487626,1.2744006574499935,0.6686074105055109,0.6795340988507004,1.9115319762178031,2.905619982674566,0.6913767149363056,-0.009282402162190609,0.5890580779421704,,,,,7.273333333333333,7.0
ood_primary,E,Ridge,150,0.0758948146774706,0.07264840176151091,0.04289369086827987,0.2636891180183496,0.20804470591437088,0.988462217683965,0.9921181487818782,2.895682252389331,2.905619982674566,0.9969667201260738,0.00423225638701943,0.992577583641844,,,,,1.6466666666666667,2.0
ood_primary,E,SVR,150,3.5174903280371193,3.000569191479765,2.689542407962179,1.733623721801757,1.1431062989667908,0.6487733546729944,0.6554938384976967,1.632420859763032,2.905619982674566,0.5948334796831458,-0.0008487174899755867,0.5148369322668762,,,,,7.486666666666666,7.5
ood_primary,E,XGBoost,150,3.5968765021637665,3.035478568164073,2.4448347976884186,1.7829141155900463,1.3815169257426747,0.5983470200671451,0.6297046508267257,2.3141067147254946,2.905619982674566,0.83669401636937,-0.009320172875516054,0.6704902561400277,,,,,8.393333333333333,8.5
ood_primary,F,CatBoost,150,0.23436638901802762,0.1879074374592033,0.16863678606419769,0.46579908734242215,0.37220758918374397,0.09438935543725557,0.0,0.8624599512770765,0.6575278889650205,1.088089495177043,-0.009489797957559852,0.8530718199699657,,,,,5.753333333333333,6.0
ood_primary,F,FixedRidgeLambda1,150,0.07418448563516893,0.06069386612358875,0.046667753640949675,0.2610081738252144,0.2131681908865018,0.197712164338754,0.0,0.8163295288929302,0.6575278889650205,1.1254227450284853,-0.008708813131396693,1.0122145292595721,,,,,1.7,1.0
ood_primary,F,KNN,150,0.7372337799233787,0.2228683042025209,1.5616086888065341,0.6822750172279755,0.5547490107890556,-0.06867966841124727,0.0,0.7531223968197681,0.6575278889650205,0.9656234518756804,-0.020387191031266703,0.5727106229079093,,,,,7.38,7.0
ood_primary,F,LightGBM,150,0.3759420355794727,0.34975019046538086,0.12965202404325554,0.6045669902991816,0.490472147942345,-0.20976963683861907,0.0,1.0504728799456828,0.6575278889650205,1.34986818358544,-0.00871417070118236,0.9743500751824868,,,,,8.073333333333334,8.0
ood_primary,F,LinearRegression,150,0.07496785593865127,0.06046234472285335,0.04673759770983672,0.2624047358952939,0.21436783191661357,0.19490847455029148,0.0,0.8218796356421725,0.6575278889650205,1.1330972163151112,-0.008566149011373961,1.018999436716418,,,,,2.433333333333333,2.0
ood_primary,F,MLP,150,0.6714111091639751,0.638911132007411,0.227225392285105,0.8087909998418167,0.6463083360902948,-0.7086720145107409,0.0,1.2294367181901786,0.6575278889650205,1.5336654691155112,-0.006251280671976683,0.9527065307962413,,,,,9.473333333333333,10.0
