suite_family,prior_regime,p_total_quartile,n_train_quartile,method,valid_count,mean_mse_betaX,mean_r2_betaX,mean_rank_mse_betaX
ood_primary,E,Q1,Q1,CatBoost,18,1.070368360283939,0.7041671353387039,5.333333333333333
ood_primary,E,Q1,Q1,FixedRidgeLambda1,18,0.05343637096611606,0.9838099523692203,1.8888888888888888
ood_primary,E,Q1,Q1,KNN,18,1.807125469825162,0.5759451141608285,7.611111111111111
ood_primary,E,Q1,Q1,LightGBM,18,1.7693192280076175,0.5128915084652896,8.11111111111111
ood_primary,E,Q1,Q1,LinearRegression,18,0.05347868248846352,0.9838896398404169,1.6666666666666667
ood_primary,E,Q1,Q1,MLP,18,0.7639467643889457,0.3084572739080439,6.0
ood_primary,E,Q1,Q1,MODEL3-ICL-MC,18,0.08171256773730594,0.9750744537713241,2.4444444444444446
ood_primary,E,Q1,Q1,RandomForest,18,1.4483514915066147,0.6919728493161297,6.611111111111111
ood_primary,E,Q1,Q1,Ridge,18,0.05343637096611606,0.9838099523692203,1.8888888888888888
ood_primary,E,Q1,Q1,SVR,18,1.924648342575279,0.6550964079426946,7.0
ood_primary,E,Q1,Q1,XGBoost,18,1.832400266331265,0.46962735519369,8.333333333333334
ood_primary,E,Q1,Q2,CatBoost,15,1.3972118982169277,0.8073396723934171,5.466666666666667
ood_primary,E,Q1,Q2,FixedRidgeLambda1,15,0.048537476949156694,0.9896353045913782,1.8
ood_primary,E,Q1,Q2,KNN,15,2.032308837557012,0.7093513520063693,7.866666666666666
ood_primary,E,Q1,Q2,LightGBM,15,2.2774502879533642,0.680274480116563,8.466666666666667
ood_primary,E,Q1,Q2,LinearRegression,15,0.048557132163992676,0.9894829889231154,1.6
ood_primary,E,Q1,Q2,MLP,15,0.8012038794726805,0.8310993582569819,5.4
ood_primary,E,Q1,Q2,MODEL3-ICL-MC,15,0.07864150408777155,0.9841457807095613,2.6
ood_primary,E,Q1,Q2,RandomForest,15,1.497095464130113,0.7813545167230773,5.733333333333333
ood_primary,E,Q1,Q2,Ridge,15,0.048537476949156694,0.9896353045913782,1.8
ood_primary,E,Q1,Q2,SVR,15,2.7070591846635295,0.6571722350762712,8.066666666666666
ood_primary,E,Q1,Q2,XGBoost,15,2.1221725969627703,0.6775926188629965,8.0
ood_primary,E,Q1,Q3,CatBoost,15,0.7714154772756179,0.7567221248877671,5.333333333333333
ood_primary,E,Q1,Q3,FixedRidgeLambda1,15,0.057439784919167236,0.9818692623162854,1.9333333333333333
ood_primary,E,Q1,Q3,KNN,15,1.2113901883687395,0.6287563983917921,7.866666666666666
ood_primary,E,Q1,Q3,LightGBM,15,1.089676051331088,0.6423380889635749,7.866666666666666
ood_primary,E,Q1,Q3,LinearRegression,15,0.05793946004068676,0.9817405128999486,1.8666666666666667
ood_primary,E,Q1,Q3,MLP,15,0.780337897784248,0.5906819075978819,6.933333333333334
ood_primary,E,Q1,Q3,MODEL3-ICL-MC,15,0.06967077546740783,0.9765433368050993,2.2
ood_primary,E,Q1,Q3,RandomForest,15,0.9075386281062496,0.7415859148314617,6.2
ood_primary,E,Q1,Q3,Ridge,15,0.057439784919167236,0.9818692623162854,1.9333333333333333
ood_primary,E,Q1,Q3,SVR,15,1.1220180344655826,0.6866862830940581,6.933333333333334
ood_primary,E,Q1,Q3,XGBoost,15,1.0397591105756174,0.6510249061507413,7.866666666666666
ood_primary,E,Q1,Q4,CatBoost,3,1.9140733031201929,0.8017521078032711,5.0
ood_primary,E,Q1,Q4,FixedRidgeLambda1,3,0.0942787317590487,0.9899527297862335,1.3333333333333333
ood_primary,E,Q1,Q4,KNN,3,2.773377693412023,0.7207051095685175,6.666666666666667
ood_primary,E,Q1,Q4,LightGBM,3,3.6188946793881995,0.6239310527659253,9.666666666666666
ood_primary,E,Q1,Q4,LinearRegression,3,0.09762281054785181,0.9896249504788844,2.3333333333333335
ood_primary,E,Q1,Q4,MLP,3,0.43765089390947454,0.9526708245621728,4.0
ood_primary,E,Q1,Q4,MODEL3-ICL-MC,3,0.09542763288159246,0.9896331007134181,2.3333333333333335
ood_primary,E,Q1,Q4,RandomForest,3,2.600095293733743,0.7322463309866084,7.0
ood_primary,E,Q1,Q4,Ridge,3,0.0942787317590487,0.9899527297862335,1.3333333333333333
ood_primary,E,Q1,Q4,SVR,3,3.8389503922378836,0.6075837431502832,9.333333333333334
ood_primary,E,Q1,Q4,XGBoost,3,2.807816239636024,0.699097000178991,7.333333333333333
ood_primary,E,Q2,Q1,AutoGluon,2,1.1861205970622049,0.799912851767709,5.5
ood_primary,E,Q2,Q1,CatBoost,15,1.7315003502366935,0.7744238750107736,5.066666666666666
ood_primary,E,Q2,Q1,FixedRidgeLambda1,15,0.11322223633672547,0.9825563268653222,1.5333333333333334
ood_primary,E,Q2,Q1,KNN,15,3.0139472959783054,0.6136140595506998,8.266666666666667
ood_primary,E,Q2,Q1,LightGBM,15,2.696792322295704,0.615007325744573,8.533333333333333
ood_primary,E,Q2,Q1,LinearRegression,15,0.11360758163951457,0.9823669606698981,1.8
ood_primary,E,Q2,Q1,MLP,15,0.9200241039539422,0.8580833859785207,4.266666666666667
ood_primary,E,Q2,Q1,MODEL3-ICL-MC,15,0.17390993676984362,0.9732659431004239,2.6666666666666665
ood_primary,E,Q2,Q1,RandomForest,15,2.4304666328565783,0.6782997164829524,7.666666666666667
ood_primary,E,Q2,Q1,Ridge,15,0.11322223633672547,0.9825563268653222,1.5333333333333334
ood_primary,E,Q2,Q1,SVR,15,2.6607038152245015,0.6708160351039487,7.733333333333333
ood_primary,E,Q2,Q1,XGBoost,15,2.7960080475194298,0.628758110103868,8.2
ood_primary,E,Q2,Q2,AutoGluon,1,1.0726846840755395,0.8265074740994248,4.0
ood_primary,E,Q2,Q2,CatBoost,6,1.193306820966958,0.8286687061615092,5.166666666666667
ood_primary,E,Q2,Q2,FixedRidgeLambda1,6,0.10999849081279896,0.9840737429596054,1.0
ood_primary,E,Q2,Q2,KNN,6,2.757062243269603,0.6068501334391555,10.166666666666666
ood_primary,E,Q2,Q2,LightGBM,6,1.6940067399955472,0.7602309766157993,6.666666666666667
ood_primary,E,Q2,Q2,LinearRegression,6,0.11410577897858087,0.9835021206583742,2.0
ood_primary,E,Q2,Q2,MLP,6,0.9176861886348301,0.8611153628436335,4.5
ood_primary,E,Q2,Q2,MODEL3-ICL-MC,6,0.2036603227880034,0.9702944353168604,3.0
ood_primary,E,Q2,Q2,RandomForest,6,1.6777208209813033,0.7565061738729085,6.833333333333333
ood_primary,E,Q2,Q2,Ridge,6,0.10999849081279896,0.9840737429596054,1.0
ood_primary,E,Q2,Q2,SVR,6,2.0920748048524183,0.7022112135929417,8.0
ood_primary,E,Q2,Q2,XGBoost,6,2.282644701315145,0.6697087818927562,8.833333333333334
ood_primary,E,Q2,Q3,AutoGluon,1,1.4653678429294643,0.84921251685224,5.0
ood_primary,E,Q2,Q3,CatBoost,9,1.67012013190079,0.765382945829259,5.333333333333333
ood_primary,E,Q2,Q3,FixedRidgeLambda1,9,0.09231024807224039,0.9855942031438012,1.6666666666666667
ood_primary,E,Q2,Q3,KNN,9,2.6909639138761206,0.6081640006724975,8.444444444444445
ood_primary,E,Q2,Q3,LightGBM,9,2.793125893252366,0.5968444797883324,8.555555555555555
ood_primary,E,Q2,Q3,LinearRegression,9,0.0930241755320381,0.9855169658288925,2.0
ood_primary,E,Q2,Q3,MLP,9,0.6872656835066879,0.8920402407464155,4.0
ood_primary,E,Q2,Q3,MODEL3-ICL-MC,9,0.12213093525211176,0.980758391170959,2.3333333333333335
ood_primary,E,Q2,Q3,RandomForest,9,2.5751180260939517,0.6355672013261288,8.0
ood_primary,E,Q2,Q3,Ridge,9,0.09231024807224039,0.9855942031438012,1.6666666666666667
ood_primary,E,Q2,Q3,SVR,9,2.2423307847577365,0.6865705366327135,6.666666666666667
ood_primary,E,Q2,Q3,XGBoost,9,2.70488298195728,0.6067037688120499,8.666666666666666
ood_primary,E,Q2,Q4,CatBoost,6,2.6145727516013775,0.77195032237037,5.333333333333333
ood_primary,E,Q2,Q4,FixedRidgeLambda1,6,0.04808044659438929,0.9958834489010254,2.3333333333333335
ood_primary,E,Q2,Q4,KNN,6,4.88093397743896,0.5752462684978782,9.833333333333334
ood_primary,E,Q2,Q4,LightGBM,6,2.942176085521466,0.7401675752341484,6.166666666666667
ood_primary,E,Q2,Q4,LinearRegression,6,0.04632566418445258,0.996038153808684,1.5
ood_primary,E,Q2,Q4,MLP,6,0.6404813881812393,0.9428598451680896,4.0
ood_primary,E,Q2,Q4,MODEL3-ICL-MC,6,0.06063875594412018,0.9947967766290122,2.1666666666666665
ood_primary,E,Q2,Q4,RandomForest,6,3.4055367285987796,0.7006414160804378,7.166666666666667
ood_primary,E,Q2,Q4,Ridge,6,0.04808044659438929,0.9958834489010254,2.3333333333333335
ood_primary,E,Q2,Q4,SVR,6,4.618644444521213,0.600610511611586,8.666666666666666
ood_primary,E,Q2,Q4,XGBoost,6,3.464505781429066,0.6954661104055303,7.833333333333333
ood_primary,E,Q3,Q1,CatBoost,12,3.4104485943429914,0.7493701127472515,5.583333333333333
ood_primary,E,Q3,Q1,FixedRidgeLambda1,12,0.09858968511215259,0.9911732027720624,1.4166666666666667
ood_primary,E,Q3,Q1,KNN,12,5.495029409373584,0.5881795531314901,8.75
ood_primary,E,Q3,Q1,LightGBM,12,3.93918895740993,0.6817853270868081,7.083333333333333
ood_primary,E,Q3,Q1,LinearRegression,12,0.09985637944146958,0.9908973594305234,1.8333333333333333
ood_primary,E,Q3,Q1,MLP,12,0.878294951090119,0.9210231034270979,4.0
ood_primary,E,Q3,Q1,MODEL3-ICL-MC,12,0.17149061426369752,0.9845613281043399,2.75
ood_primary,E,Q3,Q1,RandomForest,12,4.600260687584105,0.6621218990740153,7.666666666666667
ood_primary,E,Q3,Q1,Ridge,12,0.09858968511215259,0.9911732027720624,1.4166666666666667
ood_primary,E,Q3,Q1,SVR,12,5.052425394840174,0.6389397947089135,7.75
ood_primary,E,Q3,Q1,XGBoost,12,4.752505778795439,0.6285439425438297,8.166666666666666
ood_primary,E,Q3,Q2,CatBoost,3,4.00233653867382,0.7326509405936118,6.333333333333333
ood_primary,E,Q3,Q2,FixedRidgeLambda1,3,0.03977682131498807,0.9972043473682867,2.0
ood_primary,E,Q3,Q2,KNN,3,5.520253476673983,0.6538148901607203,7.666666666666667
ood_primary,E,Q3,Q2,LightGBM,3,3.6509462719605197,0.7545673623112682,5.666666666666667
ood_primary,E,Q3,Q2,LinearRegression,3,0.03840223751659486,0.9972971193850942,1.0
ood_primary,E,Q3,Q2,MLP,3,0.8300340420599168,0.9461046597694961,4.0
ood_primary,E,Q3,Q2,MODEL3-ICL-MC,3,0.1032392424479208,0.9934007461192179,3.0
ood_primary,E,Q3,Q2,RandomForest,3,5.706757035811923,0.6235463952990844,9.0
ood_primary,E,Q3,Q2,Ridge,3,0.03977682131498807,0.9972043473682867,2.0
ood_primary,E,Q3,Q2,SVR,3,5.523309153657915,0.6547391221751743,7.666666666666667
ood_primary,E,Q3,Q2,XGBoost,3,5.201159561759869,0.6532711880833925,8.666666666666666
ood_primary,E,Q3,Q3,CatBoost,6,3.6794773147574786,0.7910869479160878,5.0
