prior_regime,method,n_train,p_total,valid_count,mean_mse_betaX,mean_rmse_betaX,mean_r2_betaX,mean_prediction_std,mean_target_std,mean_variance_ratio,mean_bias,mean_slope_y_pred_vs_y_true,mean_gate,mean_latent_ridge_mse,mean_neural_mse,mean_hybrid_mse
A,CatBoost,133,5,3,0.602110420330377,0.7647757625184858,0.8905005310612056,1.9634543224193457,2.3079585066769863,0.8576243089265367,0.16799900345779095,0.8214707117753878,,,,
A,CatBoost,134,8,3,1.5240248499241027,1.2168205208439198,0.8612551183281311,2.5450234969390095,3.2808577006939736,0.7785297695221352,-0.289411281151487,0.7400792553661849,,,,
A,CatBoost,135,11,3,1.7184763757008525,1.2929862931398632,0.8223960562658682,2.197619101419783,3.0711360199873403,0.7188964442883408,-0.24493143276803356,0.6759490454396797,,,,
A,CatBoost,143,10,3,0.7858655275764899,0.8854485864120057,0.849212482751872,1.8843428900135804,2.282405859521228,0.8274198048387286,-0.2540887182775993,0.7743816314500537,,,,
A,CatBoost,144,5,3,0.6917680236135864,0.8224174723679192,0.9208514281888435,2.7354165288115837,2.9824283072567113,0.9166146368815081,0.16324890604370138,0.8843737826460262,,,,
A,CatBoost,148,8,3,0.6031170131804487,0.7765391967448464,0.7459532764439164,1.0959055248336391,1.5625572859455534,0.6984150238943903,-0.1187833192670487,0.6243012638034285,,,,
A,CatBoost,150,10,3,1.287235625429785,1.1315010469132807,0.7662242458776941,1.8067013915300087,2.340702461179251,0.7726515024369274,0.29937529587558226,0.6918455063730664,,,,
A,CatBoost,152,7,3,0.46763692058712497,0.6821237489660456,0.8480547361487504,1.481775193581483,1.7516864971755506,0.8465999066157055,0.09649098288444351,0.7857842532003915,,,,
A,CatBoost,152,11,3,1.4832817091814157,1.196696640988485,0.7483740775052471,1.670836758978737,2.371751181952591,0.7133358330235874,0.06352532832014136,0.6359607386097713,,,,
A,CatBoost,154,9,3,1.0339153566803587,1.0134095100298148,0.8623968703379371,2.272015505276227,2.7302258413771874,0.8345705524531858,0.0883467073071821,0.7812721565140456,,,,
A,CatBoost,155,13,3,3.2649225331465463,1.7608063443183115,0.7525045855269076,2.545693000100391,3.5116805812926515,0.7331652968653984,-0.15501878423701196,0.6500972756360652,,,,
A,CatBoost,156,4,3,0.602758297985091,0.7660557257362585,0.8291316478625075,1.677196172118818,1.8808845099933489,0.8909081415347764,0.12231116501718149,0.8157965383323146,,,,
A,CatBoost,158,13,3,2.6079518594671076,1.6052415068077028,0.814275053513542,2.6192817687259087,3.7278560647995413,0.7039356883790489,0.19402033124854265,0.6577179279135006,,,,
A,CatBoost,158,16,6,3.487823905529533,1.8435126691993162,0.7667725023249172,2.4544647794125605,3.824788320343396,0.6464446005979249,0.21134263935548336,0.5964237134734272,,,,
A,CatBoost,159,7,3,1.1408394513952602,1.063422169964803,0.8630769826974979,2.449555550741749,2.869805569293551,0.8579081266579452,0.17762088552005176,0.8043206601099255,,,,
A,CatBoost,159,10,3,1.7580208806671038,1.3154833648876705,0.7996029400201602,2.1969781149194616,2.9451334834107707,0.7466355065473552,-0.23278469697756632,0.6836518694743837,,,,
A,CatBoost,159,11,6,4.796748497602555,2.168562524682466,0.7725376840610609,3.0002310653731126,4.53993185168773,0.6635364383755049,0.22842336777990443,0.6105480247636085,,,,
A,CatBoost,159,12,3,1.329418800279563,1.1472870560656427,0.764037305444592,1.841239609388376,2.4013127839806327,0.7663760818633873,-0.08015312467267786,0.677235183071944,,,,
A,CatBoost,160,8,6,1.0562542160168815,1.0125738757758602,0.852599793297581,2.2629655063754104,2.788200882429747,0.8070920457740919,0.043939105630152964,0.7559438764858776,,,,
A,CatBoost,161,7,3,0.3451409057961679,0.5867276287558271,0.7471835953706454,1.003371347597445,1.1734498876884583,0.8535695984479585,0.21748639306474601,0.7567803828634682,,,,
A,CatBoost,161,10,3,1.5854015956745766,1.2573985659484646,0.8735696906378786,2.8485736921423137,3.5720540051871903,0.8011133103691015,-0.2282659605930434,0.7603158244036957,,,,
A,CatBoost,162,9,3,1.1891255155776352,1.0865170541248224,0.8279962211671564,1.9738707748907613,2.618927989138421,0.7564482200214487,-0.09185365984546652,0.7039682737475178,,,,
A,CatBoost,162,12,3,1.8272089142872343,1.3366955912165095,0.7341111677282449,1.8098533002594237,2.5873372068485376,0.7053534698239838,0.08005559230000009,0.62519238016562,,,,
A,CatBoost,162,13,3,1.1197598288460442,1.0467448940998816,0.7103312084994192,1.431376782912951,1.9442344503712292,0.7413055909935489,-0.01302690645835187,0.6399259513756134,,,,
A,CatBoost,163,8,3,1.0087727072307058,1.000487350462816,0.8856655870360818,2.51219590257649,2.9625557400671343,0.8483337206861988,-0.0184888101222217,0.804230733685453,,,,
A,CatBoost,163,13,3,1.9694834077800498,1.3996545922939354,0.780847918021735,1.9989087791005,2.997949901423141,0.6694124474366561,-0.10676948420837172,0.6181918720193718,,,,
